STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Pays,SER,Série,TIME_PERIOD,Année,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,8172993472,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,818006,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,4892907,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,899765,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,735313,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,4637890196,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,590207979,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,610181,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,807317,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,908579,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,1604800,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,5840651102,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,997247637,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,544000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,750000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,14000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,1557000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,3766666667,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,755555556,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FRA,France,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,12566000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FRA,France,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,26499000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FRA,France,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,51085555556,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FRA,France,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,12685878,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FRA,France,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,8700863139,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DEU,Allemagne,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,16190000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DEU,Allemagne,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,54491000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DEU,Allemagne,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,16500000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DEU,Allemagne,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,63777777778,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,GRC,Grèce,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,11141878,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DEU,Allemagne,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,8888888889,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,GRC,Grèce,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,4274380,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DEU,Allemagne,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,20850000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,GRC,Grèce,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,468978,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,GRC,Grèce,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,4877094444,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,GRC,Grèce,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,742222222,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,HUN,Hongrie,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,956449,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,HUN,Hongrie,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,5044000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,HUN,Hongrie,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,2137771,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,HUN,Hongrie,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,1891937,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,HUN,Hongrie,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,3243784445,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ISL,Islande,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,117746,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ISL,Islande,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,162141,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ISL,Islande,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,43472,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ISL,Islande,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,223763511,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,IRL,Irlande,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,1235310,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,IRL,Irlande,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,2830874,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,IRL,Irlande,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,387463,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,IRL,Irlande,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,366322,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ISL,Islande,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,38448257,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,IRL,Irlande,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,3381018700,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,IRL,Irlande,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,619320897,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ITA,Italie,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,21119193,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ITA,Italie,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,74621563,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ITA,Italie,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,4397530,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ITA,Italie,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,35348441921,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ITA,Italie,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,8098816201,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,JPN,Japon,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,25078411,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,JPN,Japon,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,754783,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,JPN,Japon,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,38467057,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,JPN,Japon,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,29481492,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,JPN,Japon,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,115946794448,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,JPN,Japon,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,9881031064,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,KOR,Corée,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,16341489,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,KOR,Corée,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,3102518,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,KOR,Corée,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,12458208,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,KOR,Corée,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,14424155,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,KOR,Corée,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,47423176208,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,KOR,Corée,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,5127214541,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,LUX,Luxembourg,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,276630,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,LUX,Luxembourg,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,193000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,LUX,Luxembourg,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,93300,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,LUX,Luxembourg,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,597777778,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,LUX,Luxembourg,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,146111111,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,MEX,Mexique,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,19615886,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,MEX,Mexique,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,90647027,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,MEX,Mexique,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,17330951,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,MEX,Mexique,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,28245982735,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,MEX,Mexique,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,4605550716,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NLD,Pays-Bas,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,1368000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NLD,Pays-Bas,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,3655000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NLD,Pays-Bas,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,5575000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NLD,Pays-Bas,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,12989662222,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NLD,Pays-Bas,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,2587111367,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NZL,Nouvelle-Zélande,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,1232000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NZL,Nouvelle-Zélande,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,3490000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NZL,Nouvelle-Zélande,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,150000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NZL,Nouvelle-Zélande,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,40000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NZL,Nouvelle-Zélande,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,3573426573,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NZL,Nouvelle-Zélande,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,1237762238,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NOR,Norvège,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,569669,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NOR,Norvège,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,1144623,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NOR,Norvège,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,374701,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NOR,Norvège,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,891321,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NOR,Norvège,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,4197669009,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,NOR,Norvège,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,1244447270,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,POL,Pologne,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,4319020,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,POL,Pologne,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,27610369,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,POL,Pologne,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,3341105,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,POL,Pologne,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,10518063581,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,POL,Pologne,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,1715281105,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,PRT,Portugal,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,1906957,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,PRT,Portugal,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,8502881,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,PRT,Portugal,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,1956110,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,PRT,Portugal,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,1347391,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,PRT,Portugal,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,6364621111,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,PRT,Portugal,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,697134593,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,SVK,République slovaque,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,522639,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,SVK,République slovaque,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,1889334,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,SVK,République slovaque,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,274778,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,SVK,République slovaque,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,460408,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,SVK,République slovaque,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,1843857269,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,SVK,République slovaque,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,348770432,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ESP,Espagne,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,19599274,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ESP,Espagne,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,13449515,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,ESP,Espagne,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,5446363,,A,,,,,,,
